1 - Qual a sua idade?,2 - Reside em Cachoeira do sul ou se mudaria para a cidade:,"3 - Se não reside em Cachoeira do Sul, mora em qual cidade?",4 - Qual a sua escolaridade:,"5 - Se possuí formação superior, qual o nível:","6 - Se você trabalha, qual a sua área de atuação:",7 - Seria a sua primeira vez estudando na UFSM-CS:,8 - Qual curso está cursando na UFSM-CS?,9 - Em quanto tempo pretende iniciar uma graduação?,"10 - Teria interesse em cursos da área de Exatas (como Matemática, Física, Química, Engenharia, entre outros)? Essa área abrange cursos voltados para o raciocínio lógico, cálculo, experimentação e tecnologia, podendo ter foco em pesquisa, indústria ou ensino (Licenciatura).","11 - Na sua opinião, qual a maior dificuldade para iniciar ou concluir uma graduação:","12 - Sobre o curso apresentado (Ciências Exatas e Sustentabilidade Tecnológica), você teria interesse em cursá-lo na UFSM-CS?",13 - Qual seu nível de interesse em fazer o curso apresentado?,14 - Qual turno seria mais adequado para você fazer o curso?,15 - Quais fatores te influenciam na escolha do curso? (marque até 2),16 - Você estaria disposto a fazer o curso mesmo se precisasse trabalhar e estudar ao mesmo tempo?,17 - Qual é o seu nível de interesse em um curso de Engenharia de Software?,"18 -  Se não tem interesse em nenhum desses cursos, teria interesse em algum outro:",19 - Em qual dos cursos ofertados pela UFSM-CS você tem interesse?,"20 - Em qual curso,  não ofertado pela UFSM-CS ,  você tem interesse?",24 - Você conhece alguém que teria interesse em fazer alguns dos cursos apresentados?,Identificação
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Trabalho / família,Sim,2 – Tenho pouco interesse,Noturno,"Afinidade com a área, Remuneração no mercado",Sim,Talvez teria interesse,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de tempo,Talvez,2 – Tenho pouco interesse,Diurno,Prestígio da profissão,Não,Talvez teria interesse,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Técnico,Não estou trabalhando,Sim,,Em 1–2 anos,"Sim, tenho interesse",Distância,Não,,,,,Talvez teria interesse,,,,Não,Escola
25–34,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior completo,Licenciatura,Educação / Ensino / Pedagogia,Sim,,Ainda sem previsão,"Sim, tenho interesse",Falta de tempo,Sim,3 – Interesse moderado,Noturno,Afinidade com a área,Sim,Não tenho interesse,Ainda não sei / Estou em dúvida,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Estagiário,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Trabalho / família,"Não, mas tenho interesse em outro curso ofertado na UFSM-CS",,,,,,,Engenharia Agrícola,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Freelancer / Autônomo,Sim,,Em 1–2 anos,"Sim, tenho interesse",Falta de dinheiro,Sim,3 – Interesse moderado,Diurno,"Afinidade com a área, Remuneração no mercado, Facilidade de inserção profissional",Sim,Talvez teria interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Sem interesse,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Estagiário,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Trabalho / família,Não,,,,,Tenho interesse,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de informação,"Não, mas conheço alguém que teria interesse",,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Falta de informação,"Não, mas tenho interesse em outro curso ofertado na UFSM-CS",,,,,,,Engenharia Agrícola,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Tecnologia da Informação (TI),Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de tempo,Talvez,3 – Interesse moderado,Noturno,Afinidade com a área,Talvez,Tenho interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de informação,Talvez,2 – Tenho pouco interesse,Diurno,Afinidade com a área,Sim,Talvez teria interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Técnico,Indústria / Produção,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de tempo,Sim,3 – Interesse moderado,Noturno,Afinidade com a área,Sim,Talvez teria interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Tecnologia da Informação (TI),Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Trabalho / família,Talvez,3 – Interesse moderado,Noturno,"Afinidade com a área, Facilidade de inserção profissional, Prestígio da profissão",Talvez,Talvez teria interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Técnico,Indústria / Produção,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Falta de dinheiro,Talvez,1 – Não tenho interesse,Integral,Duração do curso,Não,Não tenho interesse,Ainda não sei / Estou em dúvida,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Falta de dinheiro,Sim,3 – Interesse moderado,Diurno,Opinião de familiares/amigos,Talvez,Tenho interesse,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Freelancer / Autônomo,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,"Não, mas tenho interesse em outro curso não ofertado na UFSM-CS",,,,,,,,Direito,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Estagiário,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Freelancer / Autônomo,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Freelancer / Autônomo,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Estagiário,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Técnico,"Saúde (ex: enfermagem, medicina, odontologia)",Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Educação / Ensino / Pedagogia,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Falta de dinheiro,Sim,3 – Interesse moderado,Diurno,Afinidade com a área,Sim,Talvez teria interesse,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Estagiário,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,2 – Tenho pouco interesse,Noturno,Afinidade com a área,Sim,Não tenho interesse,"Sim, tenho interesse em outro curso da UFSM-CS",Engenharia Agrícola,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Sim, tenho interesse",Falta de dinheiro,Talvez,3 – Interesse moderado,Diurno,Afinidade com a área,Sim,Tenho interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,"Não, mas tenho interesse em outro curso ofertado na UFSM-CS",,,,,,,Engenharia Mecânica,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,3 – Interesse moderado,Noturno,"Afinidade com a área, Remuneração no mercado",Sim,Talvez teria interesse,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Estagiário,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,Não,,,,,Talvez teria interesse,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Jovem Aprendiz,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Trabalho / família,"Não, mas tenho interesse em outro curso ofertado na UFSM-CS",,,,,,,Engenharia Mecânica,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Falta de tempo,Sim,4- Interesse alto,Diurno,Afinidade com a área,Sim,Tenho interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,2 – Tenho pouco interesse,Noturno,"Afinidade com a área, Remuneração no mercado",Talvez,Tenho interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de tempo,Talvez,2 – Tenho pouco interesse,Noturno,"Afinidade com a área, Remuneração no mercado",Sim,Talvez teria interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de informação,Talvez,2 – Tenho pouco interesse,Diurno,Facilidade de inserção profissional,Talvez,Não tenho interesse,Ainda não sei / Estou em dúvida,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,5 - Interesse muito alto,Noturno,"Afinidade com a área, Facilidade de inserção profissional",Sim,Tenho interesse,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Ainda sem previsão,"Sim, tenho interesse",Falta de tempo,Talvez,3 – Interesse moderado,Noturno,Duração do curso,Talvez,Talvez teria interesse,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Técnico,"Saúde (ex: enfermagem, medicina, odontologia)",Sim,,Já estou cursando,"Talvez, dependendo do curso",Falta de tempo,Talvez,3 – Interesse moderado,Diurno,Facilidade de inserção profissional,Sim,Não tenho interesse,Ainda não sei / Estou em dúvida,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
35+,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior completo,Licenciatura,Educação / Ensino / Pedagogia,Sim,,Ainda sem previsão,"Sim, tenho interesse",Falta de tempo,Sim,4- Interesse alto,Noturno,"Facilidade de inserção profissional, Duração do curso",Sim,Talvez teria interesse,,,,Sim,Escola
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Lajeado - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Técnico,Administração / Gestão,"Não, estou cursando outro curso na UFSM-CS no momento",Engenharia Elétrica,,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Sem interesse,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Técnico,"Saúde (ex: enfermagem, medicina, odontologia)",Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,Não,,,,,Não tenho interesse,Ainda não sei / Estou em dúvida,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,"Não, estou cursando outro curso na UFSM-CS no momento",Engenharia Mecânica,,"Sim, tenho interesse",Falta de dinheiro,Sim,2 – Tenho pouco interesse,Noturno,"Afinidade com a área, Facilidade de inserção profissional",Sim,Talvez teria interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,3 – Interesse moderado,Diurno,Afinidade com a área,Talvez,Talvez teria interesse,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Falta de tempo,"Não, mas tenho interesse em outro curso ofertado na UFSM-CS",,,,,,,Engenharia Elétrica,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,2 – Tenho pouco interesse,Noturno,"Afinidade com a área, Prestígio da profissão",Talvez,Não tenho interesse,"Não, não tenho interesse em cursar graduação no momento",,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Freelancer / Autônomo,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
25–34,"Sim, eu moro em Cachoeira do Sul",,Pós-graduação,Licenciatura,Educação / Ensino / Pedagogia,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Falta de tempo,Sim,4- Interesse alto,Noturno,Prestígio da profissão,Sim,Tenho interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Técnico,Não estou trabalhando,Sim,,Em até 1 ano,"Sim, tenho interesse",Falta de dinheiro,"Não, mas tenho interesse em outro curso não ofertado na UFSM-CS",,,,,,,,Engenharia de Software,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de dinheiro,Não,,,,,Não tenho interesse,"Não, não tenho interesse em cursar graduação no momento",,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de tempo,"Não, mas tenho interesse em outro curso ofertado na UFSM-CS",,,,,,,Arquitetura e Urbanismo,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,"Não, mas tenho interesse em outro curso não ofertado na UFSM-CS",,,,,,,,Nutrição ,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Estagiário,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de tempo,Talvez,2 – Tenho pouco interesse,Diurno,Prestígio da profissão,Talvez,Talvez teria interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Estagiário,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,2 – Tenho pouco interesse,Noturno,"Afinidade com a área, Facilidade de inserção profissional, Prestígio da profissão",Talvez,Talvez teria interesse,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de dinheiro,"Não, pois já estou cursando outro curso em outra instituição",,,,,,,,,,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de tempo,Não,,,,,Talvez teria interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,Não,,,,,Tenho interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Técnico,Administração / Gestão,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Estagiário,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Falta de dinheiro,Sim,5 - Interesse muito alto,Noturno,Afinidade com a área,Sim,Talvez teria interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Técnico,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Jovem Aprendiz,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Técnico,Educação / Ensino / Pedagogia,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,"Não, mas conheço alguém que teria interesse",,,,,,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Distância,Não,,,,,Talvez teria interesse,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Administração / Gestão,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,Sim,2 – Tenho pouco interesse,Noturno,"Afinidade com a área, Facilidade de inserção profissional",Sim,Não tenho interesse,"Sim, mas em outro curso não ofertado pela UFSM-CS",,Agronomia ,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Operacional ,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Comércio / Vendas / Atendimento,Sim,,Sem interesse,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,"Saúde (ex: enfermagem, medicina, odontologia)",Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,Sim,3 – Interesse moderado,Noturno,Afinidade com a área,Sim,Talvez teria interesse,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Já estou cursando,"Talvez, dependendo do curso",Trabalho / família,Não,,,,,Tenho interesse,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Indústria / Produção,Sim,,Em até 1 ano,"Sim, tenho interesse",Falta de dinheiro,"Não, mas tenho interesse em outro curso ofertado na UFSM-CS",,,,,,,Engenharia Mecânica,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de dinheiro,Sim,5 - Interesse muito alto,Noturno,Facilidade de inserção profissional,Sim,Tenho interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Administração / Gestão,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de informação,Talvez,4- Interesse alto,Noturno,Concursos,Sim,Não tenho interesse,"Sim, tenho interesse em outro curso da UFSM-CS",Engenharia Agrícola,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Trabalho / família,Não,,,,,Talvez teria interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de tempo,Sim,3 – Interesse moderado,Noturno,"Afinidade com a área, Duração do curso",Sim,Tenho interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Técnico,Indústria / Produção,Sim,,Ainda sem previsão,"Sim, tenho interesse",Falta de dinheiro,Sim,4- Interesse alto,Noturno,"Remuneração no mercado, Prestígio da profissão",Sim,Tenho interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,3 – Interesse moderado,Noturno,"Remuneração no mercado, Facilidade de inserção profissional",Sim,Talvez teria interesse,,,,Não,Escola
35+,"Sim, eu moro em Cachoeira do Sul",,Pós-graduação,Licenciatura,Educação / Ensino / Pedagogia,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Trabalho / família,Talvez,3 – Interesse moderado,Noturno,Afinidade com a área,Sim,Não tenho interesse,Ainda não sei / Estou em dúvida,,,Sim,Escola
